sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
7_11,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_1,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_1,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
2_3,MX_C_002,S.C.P.P. EL REMOLINO,BC,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
52_4,MX_C_052,PRODUCTOS PESQUEROS DE BAHIA TORTUGAS,BC,ALGAS MARINAS (Gelidium),ALGAS MARINAS,Gelidium,Red Algae,144135
52_3,MX_C_052,PRODUCTOS PESQUEROS DE BAHIA TORTUGAS,BC,ALGAS MARINAS (Gelidium),ALGAS MARINAS,Gelidium,Red Algae,144135
52_2,MX_C_052,PRODUCTOS PESQUEROS DE BAHIA TORTUGAS,BC,ALGAS MARINAS (Gelidium),ALGAS MARINAS,Gelidium,Red Algae,144135
2_2,MX_C_002,S.C.P.P. EL REMOLINO,BC,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
12_2,MX_C_012,S.C.P.P. EJIDO CORONEL ESTABAN CANTU,BC,ERIZO ROJO (Strongylocentrotus franclscanus),ERIZO ROJO,Strongylocentrotus franciscanus,Red Sea Urchin,240762
12_2,MX_C_012,S.C.P.P. EJIDO CORONEL ESTABAN CANTU,BC,ERIZO MORADO (Strongylocentrotus pupuratus),ERIZO MORADO,Strongylocentrotus purpuratus,Purple Sea Urchin,240747
7_9,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
12_1,MX_C_012,S.C.P.P. EJIDO CORONEL ESTABAN CANTU,BC,ERIZO ROJO (Strongylocentrotus franclscanus),ERIZO ROJO,Strongylocentrotus franciscanus,Red Sea Urchin,240762
12_1,MX_C_012,S.C.P.P. EJIDO CORONEL ESTABAN CANTU,BC,ERIZO MORADO (Strongylocentrotus pupuratus),ERIZO MORADO,Strongylocentrotus purpuratus,Purple Sea Urchin,240747
11_1,MX_C_011,S.C.P.P. REGASA NUM. 2,BC,NODATA,NODATA,NA,NA,NA
10_1,MX_C_010,SALVADOR VALENCIA MEDINA,BC,ERIZO ROJO (Strongylocentrotus franclscanus),ERIZO ROJO,Strongylocentrotus franciscanus,Red Sea Urchin,240762
10_1,MX_C_010,SALVADOR VALENCIA MEDINA,BC,ERIZO MORADO (Strongylocentrotus pupuratus),ERIZO MORADO,Strongylocentrotus purpuratus,Purple Sea Urchin,240747
7_15,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
52_5,MX_C_052,PRODUCTOS PESQUEROS DE BAHIA TORTUGAS,BC,ALGAS MARINAS (Gelidium),ALGAS MARINAS,Gelidium,Red Algae,144135
7_7,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_6,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_5,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_36,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
